hp_name,degree
Autosomal recessive inheritance,3877
Autosomal dominant inheritance,3311
Seizure,2929
Global developmental delay,2572
Short stature,2216
Microcephaly,1826
Intellectual disability,1746
Scoliosis,1610
Hypotonia,1608
Hypertelorism,1460
Strabismus,1317
Micrognathia,1285
Failure to thrive,1197
Generalized hypotonia,1188
Ataxia,1169
Cryptorchidism,1167
Nystagmus,1156
Hearing impairment,1104
Sensorineural hearing impairment,995
Cleft palate,984
Low-set ears,980
High palate,969
Ptosis,944
Epicanthus,903
Hepatomegaly,903
Delayed speech and language development,889
Intrauterine growth retardation,874
Cataract,861
Growth delay,831
Dysarthria,829
Depressed nasal bridge,815
Optic atrophy,800
Hyperreflexia,759
Wide nasal bridge,755
Motor delay,746
Ventriculomegaly,732
Dysphagia,702
Brachydactyly,698
Muscle weakness,693
Short neck,686
Anteverted nares,676
Abnormal facial shape,665
Hypoplasia of the corpus callosum,663
Fatigue,654
Ventricular septal defect,651
Gait disturbance,639
Cognitive impairment,636
Splenomegaly,631
Myopia,625
"Intellectual disability, mild",607
Dystonia,605
Fever,600
Long philtrum,589
Anemia,580
"Intellectual disability, severe",574
Short nose,573
Delayed skeletal maturation,569
Spasticity,563
Tremor,556
Vomiting,554
Feeding difficulties,553
Hydrocephalus,547
Atrial septal defect,547
Infantile onset,546
Abnormal cardiovascular system morphology,535
Kyphosis,531
Recurrent respiratory infections,524
Thrombocytopenia,520
Skeletal muscle atrophy,511
Patent ductus arteriosus,510
Abnormality of the dentition,503
Downslanted palpebral fissures,500
Hypertension,498
Cerebellar atrophy,498
Inguinal hernia,497
Feeding difficulties in infancy,490
Hypertonia,486
Abdominal pain,484
Talipes equinovarus,483
Weight loss,481
Microphthalmia,477
Absent speech,477
Headache,475
Anxiety,470
Constipation,468
Malar flattening,463
Visual impairment,461
Frontal bossing,459
Arthralgia,455
Coarse facial features,449
Narrow mouth,447
Cerebellar hypoplasia,445
Flexion contracture,441
Upslanted palpebral fissure,439
Elevated hepatic transaminase,437
Renal insufficiency,436
EEG abnormality,436
Retrognathia,434
Congestive heart failure,433
Macrocephaly,430
Autistic behavior,430
Deeply set eye,429
Babinski sign,425
Macrotia,419
Midface retrusion,419
Osteopenia,417
Developmental regression,412
Cerebral cortical atrophy,412
Respiratory distress,411
Polyhydramnios,409
Peripheral neuropathy,407
Hydronephrosis,407
Myalgia,404
Cerebral atrophy,403
Joint stiffness,402
Brachycephaly,398
Osteoporosis,398
Wide mouth,396
Pes cavus,396
"Low-set, posteriorly rotated ears",393
Umbilical hernia,392
Dyspnea,389
Proptosis,389
Pes planus,388
Micropenis,384
Mandibular prognathia,382
"Intellectual disability, moderate",380
Areflexia,378
Attention deficit hyperactivity disorder,377
Myoclonus,374
Respiratory insufficiency,371
Specific learning disability,371
High forehead,370
Recurrent infections,366
Telecanthus,366
Arrhythmia,365
Congenital onset,356
Camptodactyly of finger,355
Progressive,355
Thin upper lip vermilion,352
Abnormal heart morphology,350
Clinodactyly of the 5th finger,350
Photophobia,350
Alopecia,345
Glaucoma,345
Behavioral abnormality,344
Pectus excavatum,342
Aggressive behavior,341
Myopathy,339
Hypothyroidism,333
Variable expressivity,329
Finger syndactyly,326
Posteriorly rotated ears,325
Blindness,323
Sparse hair,323
Synophrys,322
Long face,320
Protruding ear,319
Joint hyperflexibility,317
Reduced visual acuity,316
Immunodeficiency,315
Abnormality of metabolism/homeostasis,311
Hypospadias,309
Hyporeflexia,306
Diarrhea,304
Severe global developmental delay,303
Hypertrophic cardiomyopathy,302
Gait ataxia,302
Craniosynostosis,301
Hyperactivity,300
Blepharophimosis,300
Abnormal pyramidal sign,299
X-linked recessive inheritance,299
Atypical behavior,297
Narrow chest,297
Delayed puberty,297
Small for gestational age,296
Elevated serum creatine kinase,295
Gastroesophageal reflux,294
Diabetes mellitus,293
Lymphadenopathy,291
Abnormality of the eye,291
Downturned corners of mouth,290
Skin rash,288
Irritability,286
Bilateral tonic-clonic seizure,286
Infantile muscular hypotonia,284
Underdeveloped nasal alae,283
Abnormality of movement,282
Hematuria,282
Dolichocephaly,281
Clinodactyly,277
Kyphoscoliosis,277
Corneal opacity,275
Dry skin,275
Genu valgum,274
Carious teeth,272
Limitation of joint mobility,272
Full cheeks,272
Lethargy,272
Highly arched eyebrow,272
Smooth philtrum,271
Facial asymmetry,269
Abnormal bleeding,267
Edema,266
Hypoplasia of penis,265
Obesity,263
Bulbous nose,262
Rod-cone dystrophy,261
Nausea,261
Tapered finger,261
Hip dysplasia,260
Gingival overgrowth,259
Microtia,259
Platyspondyly,258
Abnormality of the nervous system,255
Joint laxity,255
Triangular face,254
Premature birth,252
Agenesis of corpus callosum,251
Vesicoureteral reflux,250
Hyperkeratosis,249
Hypermetropia,248
Everted lower lip vermilion,248
Visual loss,248
Heterogeneous,248
Arthritis,246
Cough,246
Low posterior hairline,246
Erythema,245
Micromelia,243
Bruising susceptibility,243
Hyperhidrosis,243
Hyperlordosis,243
Pulmonary arterial hypertension,242
Recurrent otitis media,242
Prominent forehead,241
Hypoglycemia,241
Depressivity,240
Paresthesia,239
Facial palsy,238
Autoimmunity,237
Death in infancy,237
Hip dislocation,237
Distal muscle weakness,237
X-linked inheritance,237
"High, narrow palate",236
Hypogonadism,235
Thick eyebrow,234
Neoplasm,234
Severe short stature,233
Delayed eruption of teeth,232
Anal atresia,232
Arachnodactyly,232
Pointed chin,231
Flat face,229
Dysmetria,229
Joint hypermobility,228
Mental deterioration,228
Tetralogy of Fallot,228
Abnormality of retinal pigmentation,226
Abnormal form of the vertebral bodies,226
Difficulty walking,225
Hypotension,225
Thin vermilion border,224
Macroglossia,222
Rigidity,222
Toe syndactyly,221
Neutropenia,219
Recurrent fractures,219
Anorexia,218
Pulmonic stenosis,218
Wide intermamillary distance,217
Webbed neck,217
Chest pain,215
Urinary incontinence,215
Short philtrum,214
Subcutaneous nodule,214
Nail dystrophy,214
Juvenile onset,212
Hepatosplenomegaly,211
Syndactyly,211
Skeletal dysplasia,211
Muscle spasm,211
Coma,211
Broad nasal tip,210
Abnormal blistering of the skin,210
Abnormality of the kidney,210
Hypoplasia of the maxilla,210
Decreased testicular size,210
Diplopia,209
Memory impairment,208
Chorea,208
Round face,207
Proteinuria,207
Cerebral calcification,206
Conductive hearing impairment,205
Skin ulcer,204
Pallor,204
Cleft upper lip,203
Typified by incomplete penetrance,203
Short distal phalanx of finger,203
Distal amyotrophy,202
Sleep disturbance,202
Short palm,201
Camptodactyly,201
Inability to walk,200
Pulmonary hypoplasia,200
Lower limb muscle weakness,199
Decreased fetal movement,199
Failure to thrive in infancy,199
Astigmatism,199
Jaundice,198
Wide nose,196
Sparse scalp hair,196
Delayed myelination,196
Small hand,196
Microcornea,196
Neonatal hypotonia,195
Abnormal autonomic nervous system physiology,194
Sepsis,194
Unsteady gait,194
Abnormality of the skeletal system,193
Nephropathy,193
Sleep abnormality,192
Ascites,192
Dementia,192
Single transverse palmar crease,191
Dental crowding,191
Neurological speech impairment,191
Thick vermilion border,190
Coarctation of aorta,190
Short metacarpal,189
Delayed ability to walk,189
Generalized muscle weakness,189
Dandy-Walker malformation,189
Ichthyosis,188
Spastic paraplegia,187
Delayed gross motor development,186
Arthrogryposis multiplex congenita,186
Papule,186
Migraine,186
Neurodevelopmental delay,186
Developmental cataract,186
Lower limb spasticity,185
Cerebellar vermis hypoplasia,185
Prominent nasal bridge,184
Horseshoe kidney,184
Hypotelorism,184
Cutaneous photosensitivity,184
Muscular hypotonia of the trunk,184
Nausea and vomiting,183
Aphasia,183
Decreased response to growth hormone stimulation test,183
Talipes,183
Vertigo,182
Adult onset,182
Parkinsonism,182
Ambiguous genitalia,182
Pectus carinatum,181
Thick lower lip vermilion,181
Sloping forehead,180
Bifid uvula,180
Postnatal growth retardation,180
Apnea,180
Microdontia,180
Abnormality of vision,180
Distal sensory impairment,180
Abnormality of the nail,179
Leukopenia,179
Palpitations,179
Limb ataxia,179
Sporadic,179
Hallucinations,179
Cirrhosis,178
Blue sclerae,178
Hepatic steatosis,178
Pneumonia,178
Depression,176
Osteolysis,176
Pulmonary infiltrates,175
Long eyelashes,175
Cachexia,175
Nyctalopia,174
Hyperpigmentation of the skin,174
Primary amenorrhea,174
Polymicrogyria,174
Bilateral single transverse palmar creases,174
Aplasia/Hypoplasia of the corpus callosum,174
Small nail,173
Short phalanx of finger,173
Hypohidrosis,173
Reduced bone mineral density,173
Dental malocclusion,172
Bowing of the long bones,171
Recurrent pneumonia,171
Restrictive ventilatory defect,171
Hypogonadotropic hypogonadism,171
Short toe,170
Postural instability,170
Cardiomyopathy,169
Plagiocephaly,169
Stroke,169
Palmoplantar keratoderma,169
Precocious puberty,169
Cerebral visual impairment,169
Pancreatitis,168
Poor speech,168
Hypsarrhythmia,168
Progressive cerebellar ataxia,168
Large fontanelles,168
Increased serum lactate,168
Depressed nasal ridge,167
Hyperammonemia,167
Cranial nerve paralysis,166
Nephronophthisis,166
Leukocytosis,166
Abnormality of eye movement,166
Clonus,166
Broad forehead,165
Lymphedema,165
Broad thumb,165
Increased bone mineral density,165
Palpebral edema,165
Nephrotic syndrome,165
Postaxial hand polydactyly,165
Frequent falls,164
Proximal muscle weakness,164
Episodic abdominal pain,164
Abnormality of the pinna,164
Prominent nose,163
Psychosis,163
Open mouth,163
Abnormality of the skin,162
Intestinal malrotation,162
Abnormal fingernail morphology,162
Oculomotor apraxia,161
Amblyopia,161
Mitral regurgitation,160
Acanthosis nigricans,160
Omphalocele,159
Hyponatremia,159
Chronic otitis media,158
Short foot,158
Goiter,158
Tachycardia,157
Thickened skin,157
Patent foramen ovale,157
Bradycardia,157
Synostosis of carpal bones,157
Clumsiness,156
Lactic acidosis,156
Choanal atresia,156
Thin skin,156
Narrow face,155
Self-injurious behavior,155
Hepatic failure,154
Lumbar hyperlordosis,154
Foot dorsiflexor weakness,154
Recurrent urinary tract infections,154
Hypertriglyceridemia,153
Poor suck,153
Split hand,153
Tachypnea,153
Cutaneous mastocytosis,153
Abnormality of speech or vocalization,152
Retinopathy,152
Waddling gait,152
Broad-based gait,152
Focal-onset seizure,152
Decreased body weight,152
Abnormal cerebellum morphology,152
Generalized hirsutism,152
Increased intracranial pressure,151
Sandal gap,151
Coxa valga,151
Fine hair,150
Abnormality of the voice,150
Sensorimotor neuropathy,150
Increased CSF lactate,150
Hemiplegia/hemiparesis,150
Pachygyria,150
Epileptic encephalopathy,150
Decreased circulating antibody level,150
Aplasia/Hypoplasia of the cerebellum,150
Infertility,150
"Intellectual disability, profound",150
Cerebellar vermis atrophy,150
2-3 toe syndactyly,150
Abnormal cardiac septum morphology,149
Confusion,149
Focal motor seizure,149
Abnormal palate morphology,149
Visceral angiomatosis,149
Hypocalcemia,148
Peripheral axonal neuropathy,148
Bicuspid aortic valve,148
Type II diabetes mellitus,148
Low anterior hairline,148
Conjunctivitis,147
Pruritus,147
Increased susceptibility to fractures,147
Orofacial cleft,147
Hypercholesterolemia,147
Parakeratosis,147
Subaortic ventricular septal bulge,147
Intention tremor,146
EMG: myopathic abnormalities,146
Tall stature,146
Spastic gait,145
Childhood onset,144
Respiratory failure,144
Abnormality of skin pigmentation,144
Infantile spasms,143
Short 5th metacarpal,143
Hypopigmented skin patches,143
Dilated cardiomyopathy,142
Atresia of the external auditory canal,142
Clitoral hypertrophy,142
Hand polydactyly,142
Broad hallux,142
Narrow forehead,141
Microretrognathia,140
Asthma,140
Spastic tetraplegia,140
Deep philtrum,140
Bronchiectasis,140
Myocardial infarction,139
Elevated erythrocyte sedimentation rate,139
Cyanosis,139
Pain,139
Choreoathetosis,139
Intracranial hemorrhage,139
Iris coloboma,139
Wormian bones,139
Osteoarthritis,138
Febrile seizure (within the age range of 3 months to 6 years),138
Bifid scrotum,138
Hypopigmentation of the skin,138
Sacral dimple,137
Aganglionic megacolon,137
Short thumb,137
Hyperinsulinemia,137
Brainstem dysplasia,137
Bilateral sensorineural hearing impairment,136
Telangiectasia of the skin,136
Elevated circulating luteinizing hormone level,136
Horizontal nystagmus,136
Cerebral hypoplasia,136
Hypodontia,135
Macule,135
Abnormal cerebral white matter morphology,135
Emotional lability,135
Preaxial hand polydactyly,135
Wide anterior fontanel,134
Left anterior fascicular block,134
Autism,134
Abnormality of the ribs,134
Exercise intolerance,133
Tetraplegia,133
Malabsorption,132
Aortic valve stenosis,132
Mask-like facies,132
Drooling,132
Sparse eyebrow,132
Increased level of L-fucose in urine,132
Axial dystonia,132
Stereotypy,132
Meningitis,131
Neonatal respiratory distress,131
Abnormal hip bone morphology,131
Nephrocalcinosis,131
Limb hypertonia,131
Hepatitis,130
Pigmentary retinopathy,130
Optic nerve hypoplasia,130
Flat occiput,130
Lymphoma,130
Genu varum,129
Encephalopathy,129
Optic disc pallor,129
Widely spaced teeth,129
Elbow dislocation,129
Hemiparesis,128
Pleural effusion,128
Hirsutism,128
Sensory neuropathy,128
Hypertrichosis,128
Paraganglioma,128
Distal lower limb muscle weakness,128
Multicystic kidney dysplasia,128
Brain atrophy,127
Hoarse voice,127
Vasculitis,127
Hydrops fetalis,127
Short ribs,127
Short attention span,127
Rhizomelia,127
Postural tremor,127
Neoplasm of the skin,127
Large hands,127
Abnormal cerebral morphology,127
Progressive spastic paraplegia,127
Cafe-au-lait spot,126
Hemoptysis,126
Epididymal cyst,126
Dysdiadochokinesis,126
Retinal dystrophy,126
Aortic regurgitation,125
Generalized myoclonic seizure,125
Recurrent bacterial infections,125
Hyperextensible skin,125
Pustular rash,125
Abnormal metaphyseal trabeculation,125
Vestibular areflexia,125
Abnormality of the metaphysis,125
Coloboma,124
Oligohydramnios,124
Impulsivity,124
Distal lower limb amyotrophy,124
Mucoid diarrhea,124
Hyperlipidemia,123
Gastrostomy tube feeding in infancy,123
Narrow palpebral fissure,123
Intestinal obstruction,123
Premature ovarian insufficiency,123
Cubitus valgus,123
Decreased lecithin cholesterol acyl transferase level,123
Urticaria,122
Abnormality of the vertebral column,122
Torticollis,122
Esotropia,121
Compulsive behaviors,121
Hypercalcemia,121
Vertebral segmentation defect,121
Hypopigmentation of hair,121
Lymphopenia,121
